age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
37,7,True,True,0,0,0,1,H,5
45,8,True,False,0,0,1,0,HWH,7
67,11,True,True,0,0,0,1,HWOWH,2
49,8,True,True,0,0,0,1,HWH,2
39,9,False,True,0,0,0,1,H,2
44,9,True,False,0,0,0,1,H,4
57,1,False,False,0,1,0,0,HWOWH,7
25,2,False,False,0,0,0,1,HWH,4
62,10,False,True,0,1,0,0,HOH,3
65,10,True,True,0,0,1,0,HOH,5
47,3,False,True,0,0,0,1,HOH,5
56,10,True,True,0,0,0,1,HOH,1
52,9,False,True,0,0,0,1,HOWOH,0
65,9,True,True,0,0,0,1,HOH,1
49,11,True,True,0,0,0,1,HOH,0
42,11,False,True,0,0,0,1,HOH,4
54,8,False,True,0,0,0,1,HWH,5
21,8,False,False,0,1,0,0,H,1
35,11,True,True,0,0,0,1,HOH,6
20,3,True,False,0,0,1,0,H,3
46,8,False,True,0,0,0,1,HOH,3
46,3,True,True,0,0,1,0,H,7
74,7,True,True,0,0,0,1,HWH,0
57,6,False,False,0,0,1,0,HWH,5
61,10,True,True,0,1,0,0,HOWOH,5
22,10,True,False,0,0,1,0,HWH,2
53,9,True,True,0,0,0,1,HOH,5
53,9,False,True,0,0,0,1,HWH,0
71,10,True,True,0,0,0,1,H,2
51,7,False,True,0,0,0,1,HOH,5
47,3,True,False,1,0,0,0,HWH,5
32,3,False,False,0,0,0,1,HWH,5
43,11,True,True,1,0,0,0,HWH,3
45,11,False,True,1,0,0,0,HWH,1
30,6,True,True,1,0,0,0,HOH,5
37,7,False,False,0,0,0,1,HOH,5
40,7,True,True,0,0,0,1,HOH,0
20,7,False,False,1,0,0,0,H,5
43,7,False,True,0,0,0,1,HOH,5
52,1,True,False,0,0,0,1,HWH,0
66,10,False,True,1,0,0,0,HOH,1
62,8,False,False,0,1,0,0,HWH,6
33,8,False,False,0,0,1,0,HWH,3
62,9,False,True,1,0,0,0,HWH,5
28,9,True,False,0,0,1,0,HWH,3
61,8,True,False,0,0,0,1,HOH,3
54,8,False,True,0,0,0,1,HOH,4
24,11,False,True,1,0,0,0,HWH,3
68,7,True,True,1,0,0,0,HWH,3
67,7,False,False,0,0,0,1,HWH,7
60,4,False,True,1,0,0,0,HWH,0
30,8,True,True,0,0,0,1,HWOH,0
36,9,False,True,0,0,0,1,HOH,3
54,10,True,True,1,0,0,0,HOH,7
20,10,False,False,0,0,1,0,HOH,7
88,4,True,False,1,0,0,0,HWH,6
53,5,False,True,1,0,0,0,HOH,4
39,9,True,True,0,0,1,0,HWH,6
39,9,False,True,0,0,0,1,HOH,1
40,10,True,True,0,0,0,1,HWH,7
21,11,True,True,0,0,0,1,HOH,1
21,11,True,True,0,0,0,1,HOH,4
48,11,False,True,0,0,0,1,HOH,6
72,6,True,False,1,0,0,0,HOWOH,5
71,6,False,False,1,0,0,0,HWH,0
27,6,False,True,0,0,0,1,H,0
31,2,True,False,1,0,0,0,HOH,1
74,8,False,True,0,0,0,1,HWH,5
42,10,False,True,0,0,0,1,HWH,0
49,10,True,True,1,0,0,0,HWH,7
44,2,False,False,0,0,1,0,HWH,3
71,11,True,True,0,0,0,1,HWH,3
63,11,False,True,0,0,0,1,HWH,2
35,6,True,True,0,0,0,1,H,0
51,11,True,True,0,0,0,1,HWH,7
64,10,False,True,0,0,0,1,HOH,5
43,7,True,False,1,0,0,0,HWH,1
45,7,True,False,1,0,0,0,HWH,4
50,7,False,False,0,0,0,1,HOH,7
60,5,False,False,1,0,0,0,HWH,7
59,5,True,False,1,0,0,0,HOH,4
35,6,True,False,0,1,0,0,HWH,7
48,6,True,False,0,0,1,0,HWH,4
29,7,True,True,0,0,0,1,HWH,3
46,10,False,True,0,0,0,1,HOH,6
45,10,False,True,0,0,0,1,HOH,0
56,6,False,False,0,0,0,1,HWH,1
56,6,False,True,0,0,0,1,HWOWH,5
28,6,True,False,1,0,0,0,H,1
26,6,True,False,0,0,0,1,HOH,0
56,5,False,False,0,1,0,0,HOH,5
61,5,True,False,0,0,1,0,HWH,1
25,5,True,False,0,0,1,0,HOH,0
54,11,True,True,0,0,0,1,HOH,5
78,8,False,False,0,1,0,0,HOH,4
55,8,False,True,0,0,0,1,HWOWH,3
53,1,True,False,1,0,0,0,HOH,6
43,6,True,False,0,0,0,1,H,5
39,6,False,True,0,0,0,1,HWH,6
49,9,False,False,0,1,0,0,HOH,1
50,9,True,False,1,0,0,0,HOH,1
45,11,True,True,0,0,0,1,HOH,4
35,11,True,True,0,0,0,1,HOH,4
51,5,False,False,0,1,0,0,HWH,6
60,4,True,False,0,0,1,0,HWH,6
55,7,True,True,1,0,0,0,HWH,4
57,7,False,True,0,1,0,0,HWH,5
61,6,True,False,0,0,0,1,HWH,7
37,11,False,True,0,0,0,1,HOH,0
43,11,True,True,0,0,0,1,HWH,0
34,10,False,True,0,0,0,1,HWH,1
36,10,True,False,0,0,1,0,HWH,4
58,7,False,False,0,1,0,0,HWH,7
20,7,True,False,1,0,0,0,HOH,0
27,7,False,True,0,0,0,1,HOH,4
54,8,True,True,0,0,0,1,HWH,2
69,10,False,True,0,0,0,1,HOH,0
68,8,True,True,1,0,0,0,HWH,3
66,8,False,False,0,1,0,0,HWH,6
35,9,False,True,0,0,0,1,HWH,4
42,9,True,True,0,0,1,0,HWH,2
57,11,False,True,1,0,0,0,H,6
68,11,False,True,0,0,0,1,HOH,0
21,11,True,False,1,0,0,0,H,6
37,11,True,True,0,0,0,1,HWH,6
64,9,True,False,0,0,0,1,HWH,0
61,9,False,False,0,1,0,0,HWH,3
48,8,True,True,0,0,0,1,HWH,1
64,4,False,False,0,0,0,1,HOWOH,2
53,8,True,True,0,0,0,1,HWH,7
39,8,True,True,0,0,0,1,HWH,1
59,7,True,False,0,0,1,0,HWH,1
59,7,False,False,0,1,0,0,HWH,0
62,5,False,False,1,0,0,0,HOH,0
48,5,False,True,0,0,0,1,HOH,1
28,6,False,True,0,0,0,1,HWH,1
33,6,True,True,0,0,0,1,HWH,2
52,11,True,False,0,0,0,1,HWH,1
55,11,False,True,0,0,0,1,HWH,2
57,7,False,True,0,0,0,1,HWH,0
62,6,False,False,1,0,0,0,HOH,0
54,8,True,True,0,0,0,1,HOH,3
53,8,False,True,0,1,0,0,HWH,7
53,6,True,False,0,0,0,1,HWH,4
30,8,False,True,0,0,0,1,HOH,6
61,8,False,True,0,0,0,1,HWH,6
22,8,True,False,0,0,1,0,HWH,1
59,8,True,True,0,0,0,1,HWH,6
35,8,False,True,0,0,0,1,HWH,2
35,8,True,True,0,0,0,1,HOH,3
28,3,True,False,0,0,0,1,HOH,6
55,7,False,True,0,0,0,1,H,0
58,8,False,True,0,0,0,1,HWH,4
28,6,False,True,0,0,0,1,H,6
64,7,False,False,1,0,0,0,HWH,3
21,7,False,True,1,0,0,0,HWH,0
20,7,True,False,1,0,0,0,HWH,4
42,9,True,True,0,1,0,0,HWH,2
