age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
28,7,False,True,1,0,0,0,HWH,1
32,7,True,False,1,0,0,0,HWH,0
57,6,True,False,1,0,0,0,HOH,0
32,11,True,True,0,0,0,1,HWH,0
33,11,False,True,0,0,0,1,HWH,2
70,5,False,True,1,0,0,0,H,1
64,6,False,True,0,0,0,1,HWH,0
69,6,True,False,1,0,0,0,HWH,6
58,5,False,True,0,0,0,1,HWOH,7
58,3,False,False,1,0,0,0,HWH,6
36,8,True,True,0,0,0,1,HWOH,6
36,7,True,True,0,0,0,1,HWH,7
31,7,False,True,0,0,0,1,HWH,3
40,7,False,True,0,0,0,1,HWH,7
61,6,True,True,1,0,0,0,HOH,4
65,10,True,True,0,0,0,1,H,7
64,10,False,True,0,0,0,1,H,6
63,10,False,True,0,0,0,1,H,2
59,10,True,True,0,0,0,1,HWH,4
53,6,False,True,0,0,0,1,HOH,7
60,7,True,True,0,0,0,1,HWH,7
64,8,True,False,1,0,0,0,HOH,7
23,8,False,True,0,0,0,1,HOH,2
21,8,False,False,0,1,0,0,HWH,3
49,11,True,True,0,0,0,1,H,1
38,11,True,True,0,0,0,1,HOH,2
44,11,False,True,0,0,0,1,HOH,4
33,8,True,True,0,0,0,1,HWH,5
33,8,False,True,0,0,0,1,HWH,4
65,7,True,False,1,0,0,0,HWH,3
25,7,True,False,0,0,0,1,HWH,4
72,4,False,False,1,0,0,0,H,1
53,11,True,True,0,0,0,1,H,4
57,6,True,False,0,0,1,0,HWH,7
56,11,False,True,0,0,0,1,HOH,5
27,8,False,True,0,0,0,1,HWH,3
26,8,True,True,0,0,0,1,HWH,6
32,7,False,True,0,0,0,1,HWH,2
33,7,True,True,1,0,0,0,HWH,7
44,7,False,True,0,0,0,1,HOH,5
44,7,True,True,0,0,0,1,H,3
48,3,False,False,0,0,0,1,HOH,2
56,5,False,True,0,1,0,0,HOH,1
16,5,True,False,1,0,0,0,HOH,5
62,7,True,False,1,0,0,0,HOH,1
44,9,True,True,0,0,0,1,HOH,5
44,9,False,True,0,0,0,1,HOH,6
73,10,True,True,0,0,0,1,H,3
27,8,False,True,0,0,0,1,HOH,1
30,8,True,True,0,0,0,1,HWH,2
59,8,False,False,0,1,0,0,H,7
65,8,True,False,0,0,1,0,H,5
27,7,False,True,0,0,0,1,HWOH,7
47,9,False,True,0,0,0,1,HWH,6
48,9,True,True,0,0,0,1,HOH,7
47,9,True,True,1,0,0,0,HOH,7
41,8,True,True,0,0,0,1,HWH,0
36,8,False,True,0,0,0,1,HWH,0
58,7,True,True,0,0,0,1,HOH,2
24,7,False,False,1,0,0,0,HOH,0
49,7,False,True,0,0,0,1,HWH,3
50,7,True,False,0,0,1,0,HWH,5
60,8,False,True,0,0,0,1,HWH,0
64,11,True,True,0,0,0,1,HWH,6
57,11,False,True,0,0,0,1,H,7
65,9,True,True,0,0,0,1,HWH,5
58,9,False,True,0,0,0,1,H,6
47,11,True,True,0,0,0,1,HOH,7
38,8,True,True,0,0,1,0,HWH,5
35,8,False,False,1,0,0,0,HWH,2
45,8,True,True,0,0,0,1,HOH,1
