,aNodes,bNodes,aNodeLat,aNodeLon,bNodeLat,bNodeLon,weight,distance,net_type,activity,minutes
25748,5046,6415,42.3249753,-83.0795069,42.325006,-83.0794082,0.1094300023612164,8.805503999999999,walk,walking,0.1094300023612164
25749,4902,4903,42.3259641,-83.06869870000001,42.325894399999996,-83.0688452,0.17803495843016393,14.325939000000002,walk,walking,0.17803495843016393
25750,4903,4902,42.325894399999996,-83.0688452,42.3259641,-83.06869870000001,0.17803495843016393,14.325939000000002,walk,walking,0.17803495843016393
25751,4903,6628,42.325894399999996,-83.0688452,42.325787299999995,-83.069097,0.2968703692196801,23.888268,walk,walking,0.2968703692196801
25752,6628,4903,42.325787299999995,-83.069097,42.325894399999996,-83.0688452,0.2968703692196801,23.888268,walk,walking,0.2968703692196801
25753,6628,4904,42.325787299999995,-83.069097,42.3253921,-83.07006070000001,1.1262053885443724,90.62236899999999,walk,walking,1.1262053885443724
25754,4904,6628,42.3253921,-83.07006070000001,42.325787299999995,-83.069097,1.1262053885443724,90.62236899999999,walk,walking,1.1262053885443724
25755,4904,5295,42.3253921,-83.07006070000001,42.325415,-83.070202,0.14783009183889048,11.895444,walk,walking,0.14783009183889048
25756,5295,4904,42.325415,-83.070202,42.3253921,-83.07006070000001,0.14783009183889048,11.895444,walk,walking,0.14783009183889048
25757,5295,6433,42.325415,-83.070202,42.325373799999994,-83.0703005,0.11565483987224574,9.306398,walk,walking,0.11565483987224574
25758,6433,5295,42.325373799999994,-83.0703005,42.325415,-83.070202,0.11565483987224574,9.306398,walk,walking,0.11565483987224574
25759,5040,5041,42.327954999999996,-83.069822,42.3279025,-83.06997390000001,0.1713531385536928,13.788273,walk,walking,0.1713531385536928
25760,5041,5040,42.3279025,-83.06997390000001,42.327954999999996,-83.069822,0.1713531385536928,13.788273,walk,walking,0.1713531385536928
25761,5041,6477,42.3279025,-83.06997390000001,42.3278578,-83.0700892,0.13304370735829596,10.705627999999999,walk,walking,0.13304370735829596
25762,6477,5041,42.3278578,-83.0700892,42.3279025,-83.06997390000001,0.13304370735829596,10.705627999999999,walk,walking,0.13304370735829596
25763,6477,6198,42.3278578,-83.0700892,42.327803,-83.07025490000001,0.18550078914337556,14.926692000000001,walk,walking,0.18550078914337556
25764,6198,6477,42.327803,-83.07025490000001,42.3278578,-83.0700892,0.18550078914337556,14.926692000000001,walk,walking,0.18550078914337556
25765,6198,6634,42.327803,-83.07025490000001,42.327536,-83.0711115,0.949989896479302,76.442837,walk,walking,0.949989896479302
25766,6634,6198,42.327536,-83.0711115,42.327803,-83.07025490000001,0.949989896479302,76.442837,walk,walking,0.949989896479302
25767,6634,6481,42.327536,-83.0711115,42.327490000000004,-83.0712667,0.17087207178097855,13.749563,walk,walking,0.17087207178097855
25768,6481,6634,42.327490000000004,-83.0712667,42.327536,-83.0711115,0.17087207178097855,13.749563,walk,walking,0.17087207178097855
25769,6481,5042,42.327490000000004,-83.0712667,42.327459999999995,-83.07138499999999,0.12780690220835872,10.284238,walk,walking,0.12780690220835872
25770,5042,6481,42.327459999999995,-83.07138499999999,42.327490000000004,-83.0712667,0.12780690220835872,10.284238,walk,walking,0.12780690220835872
25771,5042,6498,42.327459999999995,-83.07138499999999,42.3274342,-83.0714696,0.09352064821603888,7.525326,walk,walking,0.09352064821603888
25772,6498,5042,42.3274342,-83.0714696,42.327459999999995,-83.07138499999999,0.09352064821603888,7.525326,walk,walking,0.09352064821603888
25773,6498,6500,42.3274342,-83.0714696,42.3271275,-83.0724666,1.1035333490747758,88.798018,walk,walking,1.1035333490747758
25774,6500,6498,42.3271275,-83.0724666,42.3274342,-83.0714696,1.1035333490747758,88.798018,walk,walking,1.1035333490747758
25775,6500,4965,42.3271275,-83.0724666,42.327096000000004,-83.072569,0.1133417922875216,9.120274,walk,walking,0.1133417922875216
25776,4965,6500,42.327096000000004,-83.072569,42.3271275,-83.0724666,0.1133417922875216,9.120274,walk,walking,0.1133417922875216
25777,4965,6501,42.327096000000004,-83.072569,42.3270704,-83.072652,0.0919049051163831,7.395312,walk,walking,0.0919049051163831
25778,6501,4965,42.3270704,-83.072652,42.327096000000004,-83.072569,0.0919049051163831,7.395312,walk,walking,0.0919049051163831
25779,6501,5593,42.3270704,-83.072652,42.326907500000004,-83.0731805,0.5851453763654666,47.084893,walk,walking,0.5851453763654666
25780,5593,6501,42.326907500000004,-83.0731805,42.3270704,-83.072652,0.5851453763654666,47.084893,walk,walking,0.5851453763654666
25781,5593,6377,42.326907500000004,-83.0731805,42.326726799999996,-83.07374809999999,0.6315376986839325,50.817944,walk,walking,0.6315376986839325
25782,6377,5593,42.326726799999996,-83.07374809999999,42.326907500000004,-83.0731805,0.6315376986839325,50.817944,walk,walking,0.6315376986839325
25783,6377,4940,42.326726799999996,-83.07374809999999,42.326692,-83.0738603,0.12434169286788373,10.005403,walk,walking,0.12434169286788373
25784,4940,6377,42.326692,-83.0738603,42.326726799999996,-83.07374809999999,0.12434169286788373,10.005403,walk,walking,0.12434169286788373
25785,4940,6378,42.326692,-83.0738603,42.3266589,-83.0739688,0.11994802838430665,9.651858,walk,walking,0.11994802838430665
25786,6378,4940,42.3266589,-83.0739688,42.326692,-83.0738603,0.11994802838430665,9.651858,walk,walking,0.11994802838430665
25787,6378,5043,42.3266589,-83.0739688,42.326619,-83.0741037,0.1484811786198069,11.947835000000001,walk,walking,0.1484811786198069
25788,5043,6378,42.326619,-83.0741037,42.3266589,-83.0739688,0.1484811786198069,11.947835000000001,walk,walking,0.1484811786198069
25789,5043,5044,42.326619,-83.0741037,42.3266024,-83.0741583,0.060331104676451225,4.8546629999999995,walk,walking,0.060331104676451225
25790,5044,5043,42.3266024,-83.0741583,42.326619,-83.0741037,0.060331104676451225,4.8546629999999995,walk,walking,0.060331104676451225
25791,5002,6240,42.327064,-83.058605,42.326922499999995,-83.0589426,0.39658703567922254,31.912169,walk,walking,0.39658703567922254
25792,6240,5002,42.326922499999995,-83.0589426,42.327064,-83.058605,0.39658703567922254,31.912169,walk,walking,0.39658703567922254
25793,6240,6239,42.326922499999995,-83.0589426,42.3267635,-83.0593219,0.4455889122248873,35.855203,walk,walking,0.4455889122248873
25794,6239,6240,42.3267635,-83.0593219,42.326922499999995,-83.0589426,0.4455889122248873,35.855203,walk,walking,0.4455889122248873
25795,6239,6241,42.3267635,-83.0593219,42.3266249,-83.0596524,0.3882996135061578,31.245305,walk,walking,0.3882996135061578
25796,6241,6239,42.3266249,-83.0596524,42.3267635,-83.0593219,0.3882996135061578,31.245305,walk,walking,0.3882996135061578
25797,6241,5003,42.3266249,-83.0596524,42.326529,-83.059881,0.26860186163271904,21.613585999999998,walk,walking,0.26860186163271904
25798,5003,6241,42.326529,-83.059881,42.3266249,-83.0596524,0.26860186163271904,21.613585999999998,walk,walking,0.26860186163271904
25799,5003,6235,42.326529,-83.059881,42.3261828,-83.0606725,0.9398161233797708,75.624184,walk,walking,0.9398161233797708
25800,6235,5003,42.3261828,-83.0606725,42.326529,-83.059881,0.9398161233797708,75.624184,walk,walking,0.9398161233797708
25801,6235,5004,42.3261828,-83.0606725,42.325971,-83.06115799999999,0.5760866317869437,46.355963,walk,walking,0.5760866317869437
25802,5004,6235,42.325971,-83.06115799999999,42.3261828,-83.0606725,0.5760866317869437,46.355963,walk,walking,0.5760866317869437
25803,5004,6225,42.325971,-83.06115799999999,42.325869899999994,-83.06139549999999,0.28006726981246977,22.536173,walk,walking,0.28006726981246977
25804,6225,5004,42.325869899999994,-83.06139549999999,42.325971,-83.06115799999999,0.28006726981246977,22.536173,walk,walking,0.28006726981246977
25805,6225,6224,42.325869899999994,-83.06139549999999,42.3257867,-83.06159090000001,0.2304366137671344,18.542543,walk,walking,0.2304366137671344
25806,6224,6225,42.3257867,-83.06159090000001,42.325869899999994,-83.06139549999999,0.2304366137671344,18.542543,walk,walking,0.2304366137671344
25807,6224,6222,42.3257867,-83.06159090000001,42.325666999999996,-83.06187209999999,0.3315987671964905,26.682758000000003,walk,walking,0.3315987671964905
25808,6222,6224,42.325666999999996,-83.06187209999999,42.3257867,-83.06159090000001,0.3315987671964905,26.682758000000003,walk,walking,0.3315987671964905
25809,6222,5844,42.325666999999996,-83.06187209999999,42.325608200000005,-83.0620103,0.16294984279269764,13.112085,walk,walking,0.16294984279269764
25810,5844,6222,42.325608200000005,-83.0620103,42.325666999999996,-83.06187209999999,0.16294984279269764,13.112085,walk,walking,0.16294984279269764
25811,5451,5452,42.3403575,-83.07708620000001,42.3405055,-83.07717099999999,0.22216494960667107,17.876947,walk,walking,0.22216494960667107
25812,5452,5451,42.3405055,-83.07717099999999,42.3403575,-83.07708620000001,0.22216494960667107,17.876947,walk,walking,0.22216494960667107
