income,age,children,sex,bach_degree,cars,activity_sched
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'v', 'h', 'ex', 'v', 'h', 'v', 'h', 'v', 'h']"
gt100,above 60,yes,male,no,two or more,"['h', 'w', 'h', 'bs', 'bg', 'h']"
gt100,above 60,yes,female,no,two or more,"['h', 'w', 'h', 'w', 'h', 'bg', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt100,20 to 35,yes,female,yes,two or more,"['h', 'w', 'h', 'dp', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'bs', 'bg', 'r', 'bs', 'r', 'bg', 'dp', 'bg', 'rec', 'h']"
gt35-lt100,19 and under,yes,female,no,two or more,['h']
gt35-lt100,19 and under,yes,female,no,two or more,"['h', 'bg', 'rec', 'h']"
gt35-lt100,above 60,no,male,yes,two or more,['h']
gt100,35 to 60,yes,female,yes,one,"['h', 'dp', 'w', 'bg', 'dp', 'h']"
gt100,20 to 35,yes,male,yes,one,"['h', 'w', 'ex', 'w', 'r', 'w', 'dp', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'bg', 'h', 'rec', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'dp', 'w', 'bg', 'h']"
lt35,35 to 60,no,male,yes,one,"['h', 'w', 'bg', 'bs', 'h', 'bg', 'h', 'w']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,above 60,no,female,no,one,"['h', 'w', 'h']"
gt100,above 60,no,male,no,two or more,"['h', 'rec', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'h', 'bg', 'h']"
gt100,20 to 35,yes,female,yes,two or more,"['h', 'w', 'dp', 'h', 'rec', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'dp', 'w', 'rec', 'h']"
lt35,above 60,no,female,no,one,"['h', 'bg', 'dp', 'rec', 'dp', 'h']"
lt35,35 to 60,no,male,yes,two or more,"['h', 'r', 'rel', 'h', 'rec', 'bg', 'h']"
gt100,above 60,no,male,yes,two or more,"['h', 'w', 'h']"
gt100,above 60,no,male,no,two or more,"['h', 'r', 'w', 'h', 'dp', 'rec', 'dp', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'r', 'w', 'bg', 'r', 'h']"
gt100,above 60,no,male,yes,two or more,"['h', 'w', 'bg', 'h']"
gt100,above 60,no,female,yes,two or more,"['h', 'w', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h', 'r', 'h']"
gt35-lt100,35 to 60,no,female,no,one,"['h', 'dp', 'rec', 'bg', 'dp', 'h', 'rec', 'h']"
gt35-lt100,above 60,no,female,yes,two or more,"['h', 'w', 'h', 'bg', 'h']"
gt35-lt100,above 60,no,male,yes,two or more,"['h', 'w', 'h']"
