aNode_bNode,aNodeLat,aNodeLon,aNodes,active_net,bNodeLat,bNodeLon,bNodes,cycle_speed_m_s,distance,drive_net,drive_speed,drive_speed_m_s,name,oneway,osmid,ref,speed,type,walk_speed_m_s,cycle_time_minutes,walk_time_minutes,drive_time_minutes
6275,42.3241373,-83.0661915,5831029341,True,42.3245584,-83.0665176,5831029340,4.167,53.95585524787006,True,25.0,11.25,[],[],616818525,[],[],service,1.11,0.21580615649896032,0.8101479766947456,0.0799346003672149
6276,42.3243606,-83.0656746,5831029333,True,42.3241373,-83.0661915,5831029341,4.167,49.2174554322685,True,25.0,11.25,[],[],616818525,[],[],service,1.11,0.19685407340320177,0.7390008323163438,0.07291474878854592
6277,42.3238271,-83.0669172,5831029342,True,42.3241373,-83.0661915,5831029341,4.167,68.91443561501238,True,25.0,11.25,[],[],616818526,[],[],service,1.11,0.2756356916047212,1.0347512855106964,0.10209546017038872
6278,42.3239305,-83.0671990,5831029343,True,42.3238271,-83.0669172,5831029342,4.167,25.86348549523748,True,25.0,11.25,[],[],616818526,[],[],service,1.11,0.10344566632764371,0.3883406230516138,0.03831627480775923
6279,42.3242893,-83.0674193,5831029346,True,42.3239305,-83.0671990,5831029343,4.167,43.81514555947209,True,25.0,11.25,[],[],616818526,[],[],service,1.11,0.17524656251288734,0.657885068460542,0.06491132675477347
6280,42.3243499,-83.0674566,5831029344,True,42.3242893,-83.0674193,5831029346,4.167,7.403347053919084,True,25.0,11.25,[],[],616818526,[],[],service,1.11,0.029611019334129608,0.11116136717596221,0.010967921561361607
6281,42.3293461,-83.0602753,5831059923,True,42.3293130,-83.0603677,5831059922,4.167,8.440475624808164,True,25.0,11.25,[],no,616820814,[],[],service,1.11,0.03375920176309161,0.1267338682403628,0.012504408333049132
6282,42.3293736,-83.0602025,5831059924,True,42.3293461,-83.0602753,5831059923,4.167,6.7204852666585895,True,25.0,11.25,[],no,616820814,[],[],service,1.11,0.02687979068337969,0.1009081871870659,0.009956274469123836
6283,42.3293974,-83.0601366,5831059925,True,42.3293736,-83.0602025,5831059924,4.167,6.0291594714539825,True,25.0,11.25,[],no,616820814,[],[],service,1.11,0.0241147087091192,0.09052791999180153,0.008932088105857751
6284,42.3288842,-83.0598821,5831059930,True,42.3289254,-83.0597834,5831059926,4.167,9.317696339386224,True,25.0,11.25,[],[],616820815,[],[],service,1.11,0.03726780393323024,0.13990535044123456,0.01380399457686848
6285,42.3288724,-83.0599052,5831059931,True,42.3288842,-83.0598821,5831059930,4.167,2.3081608097927178,True,25.0,11.25,[],[],616820815,[],[],service,1.11,0.009231904686795928,0.034657069216106874,0.003419497495989211
6286,42.3288297,-83.0599982,5831059932,True,42.3288724,-83.0599052,5831059931,4.167,8.999527818002054,True,25.0,11.25,[],[],616820815,[],[],service,1.11,0.03599523165347594,0.13512804531534614,0.013332633804447488
6287,42.3289254,-83.0597834,5831059926,True,42.3293974,-83.0601366,5831059925,4.167,59.97994138230773,True,25.0,11.25,[],yes,616820816,[],[],service,1.11,0.23990057348335225,0.900599720455071,0.08885917241823367
6288,42.3290002,-83.0596126,5831059927,True,42.3289254,-83.0597834,5831059926,4.167,16.319298705672463,True,25.0,11.25,[],yes,616820816,[],[],service,1.11,0.06527197306484467,0.2450345151001871,0.024176738823218462
6289,42.3294957,-83.0600035,5831059928,True,42.3290002,-83.0596126,5831059927,4.167,63.78306184147929,True,25.0,11.25,[],yes,616820816,[],[],service,1.11,0.25511183841884366,0.9577036312534427,0.09449342495033969
6290,42.3294328,-83.0601597,5831059929,True,42.3294957,-83.0600035,5831059928,4.167,14.62168309670715,True,25.0,11.25,[],yes,616820816,[],[],service,1.11,0.0584820538225228,0.21954479124184906,0.021661752735862447
6291,42.3293974,-83.0601366,5831059925,True,42.3294328,-83.0601597,5831059929,4.167,4.370400311217551,True,25.0,11.25,[],yes,616820816,[],[],service,1.11,0.017480202828643914,0.06562162629455782,0.006474667127729706
6292,42.3303442,-83.0610710,5917196119,True,42.3303150,-83.0611410,62894714,4.167,6.6070963694878575,True,25.0,11.25,[],[],616820820,[],[],service,1.11,0.02642627137624133,0.09920565119351137,0.009788290917759788
