"","P000","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","id","cluster","cluster_name"
"151","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",151,0,"Homemakers"
"152","H","H","H","H","H","H","H","H","H","H","H","P","G","H","H","H","H","H","S","H","H","H","H","H",152,0,"Homemakers"
"153","H","H","H","H","H","H","H","H","H","H","H","P","G","H","H","H","H","H","S","H","H","H","H","H",153,0,"Homemakers"
"154","H","H","H","H","H","H","H","W","W","G","H","H","H","H","H","H","H","H","H","H","H","H","H","H",154,0,"Homemakers"
"155","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",155,1,"9-to-5ers"
"156","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","H","H","X","H","H","H","H","H","H",156,1,"9-to-5ers"
"157","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",157,1,"9-to-5ers"
"158","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",158,1,"9-to-5ers"
"159","H","H","H","H","H","H","H","H","W","W","R","R","R","R","R","R","R","H","H","H","H","H","H","H",159,2,"Afternoon Adventurers"
"160","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",160,0,"Homemakers"
"161","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",161,0,"Homemakers"
"162","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",162,0,"Homemakers"
"163","H","H","H","H","H","H","H","H","H","H","H","H","H","G","S","S","H","H","H","H","H","H","H","H",163,0,"Homemakers"
"164","H","H","H","H","H","H","H","C","C","C","C","C","C","C","C","H","H","H","H","H","H","H","H","H",164,6,"Students"
"165","H","H","H","H","H","H","H","H","H","H","G","E","H","H","H","H","H","H","H","H","H","H","H","H",165,0,"Homemakers"
"166","H","H","H","H","H","H","H","H","H","H","W","W","W","W","W","R","H","H","H","H","H","H","H","H",166,5,"Work-Life Balancers"
"167","H","H","H","H","H","H","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","H","H",167,3,"Night-shifters"
"168","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","R","R","H","H","H","H","H","H",168,2,"Afternoon Adventurers"
"169","H","H","H","H","H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H","H",169,0,"Homemakers"
"170","H","H","H","H","H","H","H","H","H","S","H","H","H","H","H","H","H","H","H","H","H","H","H","H",170,0,"Homemakers"
"171","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",171,1,"9-to-5ers"
"172","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","W","W","W","W","H","H","H","H",172,0,"Homemakers"
