income,age,children,sex,bach_degree,cars,activities,start_times
gt35-lt100,35 to 60,yes,male,no,two or more,H_S_G_E_S_E_G_D_G_R_H,32700_36060_36180_36180_36240_39600_39600_54000_54240_72240
gt35-lt100,19 and under,yes,female,no,two or more,H,
gt35-lt100,19 and under,yes,female,no,two or more,H_G_R_H,54000_54240_72240
gt35-lt100,above 60,no,male,yes,two or more,H,
gt100,35 to 60,yes,female,yes,one,H_D_W_G_D_H,21840_25200_57600_57840_61260
gt100,20 to 35,yes,male,yes,one,H_W_X_W_E_W_D_H,18180_32400_32640_43260_43440_57600_61200
gt100,35 to 60,yes,female,yes,two or more,H_W_G_H_R_H,21660_54000_57600_65040_72300
gt100,35 to 60,yes,male,yes,two or more,H_D_W_G_H,21780_21840_61440_64980
lt35,35 to 60,no,male,yes,one,H_W_G_S_H_G_H_W,25200_28800_28860_28920_46980_50400_83100
gt100,35 to 60,yes,female,yes,two or more,H_W_H,25260_54000
gt35-lt100,above 60,no,female,no,one,H_W_H,21660_54180
gt100,above 60,no,male,no,two or more,H_R_H,21840_46980
gt35-lt100,above 60,no,male,no,two or more,H_W_H_G_H,18240_32520_36180_43320
gt100,20 to 35,yes,female,yes,two or more,H_W_D_H_R_H,21780_57600_57900_61260_65040
gt100,35 to 60,yes,male,yes,two or more,H_D_W_R_H,25440_28800_61200_65040
lt35,above 60,no,female,no,one,H_G_D_R_D_H,25200_25260_32400_50460_61200
lt35,35 to 60,no,male,yes,two or more,H_E_Z_H_R_G_H,29100_32460_39780_50580_50640_54000
gt100,above 60,no,male,yes,two or more,H_W_H,21840_57780
gt100,above 60,no,male,no,two or more,H_E_W_H_D_R_D_H,25200_25200_61200_64860_65040_79380_79500
gt35-lt100,above 60,no,male,no,two or more,H_W_E_W_G_E_H,28860_43200_43320_61380_64980_68580
gt100,above 60,no,male,yes,two or more,H_W_G_H,36240_68400_68640
gt100,above 60,no,female,yes,two or more,H_W_H,21780_61200
gt100,20 to 35,no,female,yes,two or more,H_W_H_E_H,25320_28920_75600_75840
gt35-lt100,35 to 60,no,female,no,one,H_D_R_G_D_H_R_H,28800_36180_39840_43380_46800_50580_61200
gt35-lt100,above 60,no,female,yes,two or more,H_W_H_G_H,25260_57780_61260_68580
gt35-lt100,above 60,no,male,yes,two or more,H_W_H,28800_57780
gt35-lt100,above 60,no,female,yes,two or more,H_G_S_G_H_D_Z_H,36000_36060_43260_54060_57600_61320_68400
gt100,20 to 35,yes,female,yes,two or more,H_D_W_E_W_D_G_H,21900_25320_43200_43500_57780_57900_61320
gt100,20 to 35,yes,male,yes,two or more,H_W_E_D_H,18300_57600_57840_61200
lt35,19 and under,yes,male,no,none,H_C_H,21720_54060
lt35,20 to 35,no,male,no,none,H_G_H,10980_14580
gt100,above 60,no,male,yes,two or more,H_W_H,18180_61380
gt100,35 to 60,no,male,yes,none,H,
gt35-lt100,35 to 60,no,male,no,one,H_W_H,21660_54180
gt35-lt100,20 to 35,no,male,yes,one,H_W_G_H,39840_61260_64860
gt35-lt100,20 to 35,no,female,yes,one,H_X_H,43320_46980
gt100,35 to 60,yes,female,yes,two or more,H_W_H,21780_61380
